material,type,name,img,i1,i2,i3,i4,i5,i6
sGranite,Stone / Ceramic,Granite,./img/Axon_Stone.png,33.05872954,8.272750214,2.721914153,6.482475324,6.386729747,0.000455865
sSlate,Stone / Ceramic,Slate,./img/Axon_Stone.png,30.10847248,7.711623763,4.624411966,7.451184705,4.495247723,0.00043157
sCeramic,Stone / Ceramic,Porcelain,./img/Axon_Stone.png,8.172397052,2.044386565,0.341896157,0.705035237,0.69888058,0.019264603
rRubber,Resilient,Rubber,./img/Axon_Resilient.png,20.6485353,8.747832227,0.79536432,1.406650585,1.061122539,2.49167E-05
rVinyl,Resilient,Vinyl,./img/Axon_Resilient.png,19.05853333,7.591788906,1.590609541,1.474649237,2.059748897,1.431171426
rLinoTile,Resilient,Linoleum,./img/Axon_Resilient.png,13.38105757,4.121495742,5.417796026,1.999196117,2.319376436,1.643235325
mConcrete,Misc.,Concrete Topper,./img/Axon_Misc.png,13.67808512,2.919179099,0.574482328,1.009661399,0.759372093,5.38025E-06
mTerrazzo,Misc.,Thin-Set Terrazzo,./img/Axon_Misc.png,17.02349506,7.524486027,2.981007756,4.926957453,1.262454759,0.147635401
mEpoxy,Misc.,Epoxy,./img/Axon_Misc.png,17.96803326,8.938920465,2.471103737,3.099941164,4.15032002,0
cHigh,Carpet,High Pile,./img/Axon_Carpet.png,57.48056773,19.16018924,11.70900454,2.844598947,4.547819715,4.257819832
cMedium,Carpet,Medium Pile,./img/Axon_Carpet.png,46.05408266,15.54898483,8.982631751,2.32863299,3.601790118,3.44306598
cLow,Carpet,Low Pile,./img/Axon_Carpet.png,29.50530118,10.51781924,4.942019218,1.590827183,2.226109438,2.355106953
wEngineered,Wood,Engineered,./img/Axon_Wood.png,9.373666595,1.853270421,0.940459464,1.09766109,1.292433604,0.001707081
wBamboo,Wood,Bamboo,./img/Axon_Wood.png,29.27978707,5.502055548,4.804186897,3.371000459,4.650322414,0.002169209
wCork,Wood,Cork,./img/Axon_Wood.png,11.25097024,1.953504281,2.37004749,1.686972865,1.878477947,0.003088143
wSoftwood,Wood,Softwood Plank,./img/Axon_Wood.png,14.60793729,1.757431843,1.571893818,1.543651731,2.092628331,0.001579328
wHardwood,Wood,Hardwood Plank,./img/Axon_Wood.png,27.15024958,4.389945826,2.845621044,2.965745412,3.041681856,0.001425059
